case,geometry_spec,target_geometry_file,L_mm,AR,channel_length_mm,x_points_mm,deltas_mm,inlet_height_mm,Uin_mps
channel_100,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water/channel_100.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water/channel_100.step,0.1,10,1.0,"[0.0, 0.15169990379952936, 0.29967380440948155, 0.45030838984030175, 0.48563521339310206, 0.5103701591071216, 0.6099453048978322, 0.7071814014197904, 0.8983268986283375, 0.922670547562836, 1.0]","[0.0, -0.0012920197576741879, 0.004267649888486019, 0.0014386512008066456, 0.0032276161327083, -0.0005658580117266889, -0.002727612782152232, 0.0005458478701583485, -0.004361827438958248, 0.003276311719925821, 0.0]",0.1,1.0
channel_101,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water/channel_101.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water/channel_101.step,0.1,10,1.0,"[0.0, 0.06907789655064292, 0.23731337659164983, 0.28388249969719065, 0.5223011891551396, 0.6881242698241794, 0.7860570521408924, 0.8556223435714174, 0.9294934503970225, 0.9586530596548415, 1.0]","[0.0, 0.0018304895324245465, 0.0024476215590781714, 0.004675097324342101, -0.0017417464186184808, -0.0012954029396513114, -0.00030444188724192047, -0.0031052864091571436, -0.0037007849466452842, -0.00024295073774066242, 0.0]",0.1,1.0
channel_102,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water/channel_102.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water/channel_102.step,0.1,10,1.0,"[0.0, 0.09857946878119785, 0.14512806832839786, 0.2843678878405286, 0.42871824334199654, 0.5456408028579707, 0.5721699107526708, 0.6935613468646367, 0.8346460912577534, 0.9549621760260923, 1.0]","[0.0, 0.0018249550397497552, -0.0036024751639069028, -0.0030009179752489173, -0.004926377302489945, 0.0028692437750213844, 0.0016485085659203218, 0.002051653786263352, 0.0028072903102196794, -0.0004108422446166002, 0.0]",0.1,1.0
channel_103,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water/channel_103.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water/channel_103.step,0.1,10,1.0,"[0.0, 0.04126951274280875, 0.08059183122236029, 0.10752382424214482, 0.1854532660407658, 0.2790250438182509, 0.3796532305605013, 0.6835924990894456, 0.8162434914200473, 0.9242006124230797, 1.0]","[0.0, -0.0019604990193738785, -0.004691821654320607, -0.0006328261076763769, -0.0028541532718047084, -0.000914713562753639, 0.0035340307326816624, -0.002660605141346593, -0.00441697258310934, -0.002186161079780035, 0.0]",0.1,1.0
channel_104,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water/channel_104.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water/channel_104.step,0.1,10,1.0,"[0.0, 0.2658023746903522, 0.36484201394954946, 0.5899751079145704, 0.6824633221876784, 0.8289536501243705, 0.8767530574090476, 0.9096926001485456, 0.9434083755664998, 0.9747369466755996, 1.0]","[0.0, 0.002223593505964503, -0.0003812276974861266, -0.0033872822096639825, 1.044775103363569e-05, -0.0034768789728683164, 0.0019632037507773606, -0.0005384372442596933, -0.0011897877390351754, -0.001984879108521235, 0.0]",0.1,1.0
channel_105,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water/channel_105.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water/channel_105.step,0.1,10,1.0,"[0.0, 0.05325832506004138, 0.09235020788209643, 0.11709380345450154, 0.16863229124623927, 0.32966984992271, 0.41285519857631214, 0.6259099045057981, 0.7740801458579107, 0.8640949215015792, 1.0]","[0.0, 0.0021689018915899564, -0.0005063849785621136, -0.00227758438154841, -0.004036090378465008, 0.004026023965438417, -0.00044223710166388895, -0.0029763663520476972, -0.0019404337584934756, 0.0007921956894189602, 0.0]",0.1,1.0
channel_106,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water/channel_106.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water/channel_106.step,0.1,10,1.0,"[0.0, 0.059844386968046934, 0.14574633902625456, 0.3736896466553571, 0.5421263246793999, 0.6748938737686001, 0.7113529168508858, 0.8458702517657433, 0.9096273824045193, 0.9415433297689231, 1.0]","[0.0, -0.004583858261381076, -6.009180755481031e-05, -0.0017013878766721472, -0.0035547581113395317, -0.003965970322774484, 0.0008764457217771207, -0.0032940703146311394, 0.004251201183767973, 0.0008106113970039498, 0.0]",0.1,1.0
channel_107,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water/channel_107.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water/channel_107.step,0.1,10,1.0,"[0.0, 0.11551150535381814, 0.2290215401304757, 0.25432766639324317, 0.5837878422953773, 0.6421654084139209, 0.7418014990711824, 0.7756860384053583, 0.8517384181496463, 0.8880468676029778, 1.0]","[0.0, 0.0007172805237607542, -0.0002651059894304619, -0.002330243369081065, -0.0016843100265744784, 0.00020672402471537833, -0.0006108853969495334, -0.004783879201196697, 0.0032629192419435793, 0.003961607718397668, 0.0]",0.1,1.0
channel_108,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water/channel_108.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water/channel_108.step,0.1,10,1.0,"[0.0, 0.05851166950056073, 0.30416794082184434, 0.33531035474514864, 0.5399039836451685, 0.584056952595999, 0.6483821499163005, 0.8299299229556356, 0.8583437466266461, 0.8910040942891624, 1.0]","[0.0, -0.0026978600910511925, -0.004625874438238203, 0.0005485246939148335, -0.0012907771613756129, 0.003297897431324132, 0.003082514720643019, -0.0018286110717728467, 0.00452899395069745, -0.002090821618598814, 0.0]",0.1,1.0
channel_109,/home/hantianl/Documents/PIDIF/2d_geometry_specs/channel_water/channel_109.json,/home/hantianl/Documents/PIDIF/2d_geometry_step/channel_water/channel_109.step,0.1,10,1.0,"[0.0, 0.18676050245346043, 0.25026377474439254, 0.3749550395039742, 0.41861467655819473, 0.4531554275357268, 0.5624475459448472, 0.693237598666139, 0.7875601509566302, 0.90036513605711, 1.0]","[0.0, -0.0018407094816920702, 0.002720124321109881, 0.0016166126316776112, -0.0012634227112628994, -0.004055333319384848, 0.0024678961134902604, -0.002375394840771354, 0.004368131505337793, -0.002590294249943153, 0.0]",0.1,1.0
