iter,continuity,x-velocity,y-velocity
1,1.0,0.002992496772858979,0.001426548493982815
2,0.6924657818990623,0.002790707757282883,0.0005293179095899584
3,0.6838731420612925,0.002459874663011659,0.0002909002175262411
4,0.5413416697664662,0.001955549994065927,0.0001865941987417837
5,0.4603410816893801,0.00143173543649541,0.0001267866864958272
6,0.3895596982418203,0.001025475306878689,8.711579499196951e-05
7,0.3116557197628507,0.0007644993174514414,6.154512582241715e-05
8,0.2429265625016532,0.0005952339511501462,4.600129137482913e-05
9,0.1945690247851494,0.0004830221266523825,3.653477021309253e-05
10,0.1599816406577022,0.0004068184449152665,3.065150503456975e-05
11,0.1344699963840507,0.0003512373140845706,2.661871184377818e-05
12,0.1153139214806423,0.0003064240534643911,2.349395012529197e-05
13,0.1003622113344595,0.0002695649067491764,2.085706937996721e-05
14,0.08773576080065316,0.0002381832966442385,1.861613361110083e-05
15,0.07671852194997314,0.0002112593074107352,1.661923110719422e-05
16,0.06699352176509223,0.0001879345303230718,1.487412994513779e-05
17,0.05872600616531657,0.0001676211315871095,1.328974463940669e-05
18,0.05126164651815242,0.0001497591057554597,1.185543561427096e-05
19,0.04508507514608403,0.0001339908357303264,1.054106167851688e-05
20,0.03950067261352675,0.000120001667730307,9.350753519763111e-06
21,0.03440405809820342,0.0001075090866890232,8.266026994232777e-06
22,0.02921031350168502,9.630963737119074e-05,7.286122676396423e-06
23,0.02530996247183461,8.641612204346964e-05,6.40395890378758e-06
24,0.02185593212321948,7.762156237401767e-05,5.611142545542781e-06
25,0.01876970790631442,6.981404224814883e-05,4.904729196764064e-06
26,0.01634721547175086,6.280937353051113e-05,4.286620786507091e-06
27,0.01428505543956705,5.651002190326336e-05,3.747474046274026e-06
28,0.01243566253164605,5.087371898294544e-05,3.278431230387924e-06
29,0.01088444513232211,4.582897892293965e-05,2.87105923533495e-06
30,0.009540577149964001,4.131208249473496e-05,2.516128487269005e-06
31,0.008362980362952804,3.727194113278254e-05,2.207654563214293e-06
32,0.007333774711944116,3.366307110533901e-05,1.941371313422808e-06
33,0.006467961447127085,3.043198866569089e-05,1.713480867216348e-06
34,0.005722713286206352,2.753584901397306e-05,1.51815287033839e-06
35,0.005076819022815912,2.492699236302403e-05,1.35011502809818e-06
36,0.004519426374176076,2.25717006265103e-05,1.205437439907398e-06
37,0.004044719806031195,2.044194426038043e-05,1.081285436047838e-06
38,0.003632914322087884,1.851205415121044e-05,9.751368260722466e-07
39,0.003281078288196094,1.676277419751258e-05,8.834994255946162e-07
40,0.002976834036697878,1.51747345927681e-05,8.023653169398457e-07
41,0.002714690512725123,1.373055226444624e-05,7.297143254297621e-07
42,0.002480690690043538,1.241770776528864e-05,6.635814794534043e-07
43,0.002269319255750364,1.121951050155307e-05,6.027874652371831e-07
44,0.002077168077783572,1.012528160096414e-05,5.464632552025484e-07
45,0.001904555158329268,9.126930359847053e-06,4.939474720529521e-07
46,0.001745301618715226,8.215432894626348e-06,4.450748020452574e-07
47,0.001597865860317785,7.383588001517311e-06,3.996496447256689e-07
48,0.001458551598638558,6.624317102284731e-06,3.576889929384043e-07
49,0.001332245601231139,5.932457023594564e-06,3.190387981271473e-07
50,0.001214868448797022,5.302269769310737e-06,2.837171985858627e-07
51,0.001103528374061621,4.729209563067343e-06,2.515679615973998e-07
52,0.001001676255187097,4.209113492342235e-06,2.224466094924261e-07
53,0.0009071241274023189,3.738201345806191e-06,1.962515336753743e-07
54,0.0008197023266194157,3.312276179259453e-06,1.72880407451406e-07
55,0.0007376926391733748,2.927889585269622e-06,1.519743257587358e-07
56,0.000661761298295614,2.581586922223371e-06,1.334308055307864e-07
57,0.0005952812702745889,2.270675983005113e-06,1.170508457288954e-07
58,0.0005341182182788382,1.991823233457171e-06,1.026446968926145e-07
59,0.0004769512128390686,1.742371455037037e-06,8.993077742688086e-08
60,0.0004269923060707648,1.520251614953178e-06,7.879632902330396e-08
61,0.0003812988847661964,1.323040464273586e-06,6.910200180315897e-08
62,0.0003377968779194019,1.147819282992389e-06,6.04773358190968e-08
63,0.0003005292769483153,9.932566294207994e-07,5.281942008053299e-08
64,0.0002650028771452875,8.569714346831667e-07,4.60513665584964e-08
65,0.000235362174199453,7.374790952214458e-07,4.015606107806581e-08
66,0.0002089935250234287,6.330367008189423e-07,3.50539797378081e-08
67,0.0001886824984976543,5.419212275200107e-07,3.074152950303367e-08
68,0.000170695529976786,4.624373777548484e-07,2.690076317463684e-08
69,0.0001533794556856311,3.937446157409561e-07,2.343366399700529e-08
70,0.0001340236273737475,3.343421642629981e-07,2.029028792192774e-08
71,0.0001170693445145873,2.831805792241719e-07,1.749903838264362e-08
72,0.0001039853552077485,2.393829794134368e-07,1.513570313912389e-08
73,9.375518519545874e-05,2.019438927456516e-07,1.314514863952171e-08
74,8.603437430445932e-05,1.688838176529455e-07,1.135599476814793e-08
75,7.833181194374488e-05,1.413248747122776e-07,9.836661867415397e-09
76,7.115476779464972e-05,1.183085287060818e-07,8.527648826141693e-09
77,6.387586487956114e-05,9.91769814427464e-08,7.358388884002273e-09
78,5.579385341817515e-05,8.306142497968324e-08,6.283100798192575e-09
79,4.996794435216029e-05,6.961220620103744e-08,5.3556808557684e-09
80,4.517711651877339e-05,5.835131586914772e-08,4.586107352664264e-09
81,4.171226457660597e-05,4.888545663994558e-08,3.954349521562962e-09
82,3.879147206737807e-05,4.093145092580528e-08,3.436175888267492e-09
83,3.660080190970214e-05,3.373759817042206e-08,2.990190418323304e-09
84,3.441381139895035e-05,2.799286455207691e-08,2.653044981578764e-09
85,3.197900217158621e-05,2.34223060798287e-08,2.347971695955104e-09
86,2.91354490280674e-05,1.989186215277711e-08,2.044775042502948e-09
87,2.597080252984391e-05,1.699180943456527e-08,1.758624347822758e-09
88,2.496829525544228e-05,1.465193484338564e-08,1.54316055616773e-09
89,2.490702778399769e-05,1.274713073165553e-08,1.396927678380282e-09
90,2.471151730569973e-05,1.116638013900509e-08,1.290473419114326e-09
91,2.382099654780239e-05,9.855738099188473e-09,1.19379450976556e-09
92,2.223161302944264e-05,8.678709043657322e-09,1.096461885682659e-09
93,2.091098016338491e-05,7.692273859763164e-09,1.007698256832043e-09
94,1.95718753876186e-05,6.762171829963521e-09,9.316104973193558e-10
95,1.852461462838697e-05,5.951383332483224e-09,8.619654317261468e-10
96,1.764840150584121e-05,5.357955379392455e-09,7.972010042180637e-10
97,1.645950802153486e-05,4.988776841482462e-09,7.269415700134804e-10
98,1.570684613928899e-05,4.711359829227787e-09,6.672120983354156e-10
99,1.588109215195271e-05,4.460578486399667e-09,6.314702598529224e-10
100,1.660024589085346e-05,4.261889982074892e-09,6.203152663340526e-10
101,1.69032583959334e-05,4.077491434499328e-09,6.202706566052194e-10
102,1.664484127763048e-05,3.891553967275611e-09,6.229988427360231e-10
103,1.614336224162805e-05,3.695311690247977e-09,6.183242510295714e-10
104,1.562429238801626e-05,3.493333176483537e-09,6.117028341077033e-10
105,1.496607453471519e-05,3.289959204925084e-09,6.005036734574933e-10
106,1.418120631663818e-05,3.085189216750059e-09,5.841572138072952e-10
107,1.332439799271446e-05,2.885798199861465e-09,5.506208015329792e-10
108,1.23637360367822e-05,2.73288997736091e-09,5.079625141732049e-10
109,1.14128846130219e-05,2.62733871669483e-09,4.64480406148067e-10
110,1.043147834678761e-05,2.523481806323818e-09,4.201408135429341e-10
111,9.771134140881788e-06,2.534094978028263e-09,3.82380444379492e-10
112,9.591787233788852e-06,2.552572731011972e-09,3.641879973212594e-10
113,9.576435956300102e-06,2.539061193492002e-09,3.50512109790184e-10
114,1.009775745211447e-05,2.52509637275027e-09,3.55528879720524e-10
115,1.062296476131864e-05,2.463083481083341e-09,3.682513808740429e-10
116,1.09350610945143e-05,2.39549104576127e-09,3.848745911090926e-10
117,1.088970977302235e-05,2.33273191792076e-09,3.986246568021963e-10
118,1.07942277241228e-05,2.261082982680518e-09,4.083731942156111e-10
119,1.054192707694803e-05,2.180348355756986e-09,3.999898894810357e-10
120,1.016395499237654e-05,2.09409253030639e-09,3.826648590825027e-10
121,9.751868193942872e-06,2.002170365148986e-09,3.707186404728217e-10
122,9.28697784002453e-06,1.899528411764942e-09,3.580832177380167e-10
123,8.766296941690743e-06,1.798040156971755e-09,3.43347447728811e-10
124,8.255908354037314e-06,1.697958382688796e-09,3.279023236519471e-10
125,7.737215312757775e-06,1.600840166259776e-09,3.115169073316587e-10
126,7.238576996043139e-06,1.50527795323336e-09,2.940019259495298e-10
127,6.742632210834447e-06,1.412315989425922e-09,2.752909645526019e-10
128,6.257516537429007e-06,1.322752261837061e-09,2.556156814860202e-10
129,5.797000467161657e-06,1.248880955764422e-09,2.34856682986422e-10
130,5.353347779791696e-06,1.18777063895337e-09,2.154927709909255e-10
131,4.952586403701933e-06,1.137959911163476e-09,2.008427883148505e-10
132,4.769880368964283e-06,1.092899453381676e-09,1.905557345709047e-10
133,4.604980939864566e-06,1.070027224878417e-09,1.790560464214909e-10
134,4.392779409444316e-06,1.047664124904568e-09,1.692844224718461e-10
135,4.303600484848787e-06,1.031289334864156e-09,1.645292150843023e-10
136,4.282498783487231e-06,1.015033906427409e-09,1.638430773350764e-10
137,4.237278975113094e-06,1.00676435300232e-09,1.628026897648108e-10
138,4.194357232145535e-06,1.000930501473325e-09,1.62386522396452e-10
139,4.124420964831783e-06,9.99410640797054e-10,1.633107176981492e-10
140,4.158644195004505e-06,9.977774350113771e-10,1.642290315041124e-10
141,4.188765998334266e-06,9.951387394431808e-10,1.617467130806894e-10
142,4.193809564415591e-06,9.909426547109035e-10,1.607837007803649e-10
143,4.193531439938251e-06,9.785793047560157e-10,1.557761775490299e-10
144,4.188827420998145e-06,9.56362190456733e-10,1.527598568100001e-10
145,4.100815288566205e-06,9.406370684878511e-10,1.493253188672383e-10
146,3.978835520187062e-06,9.254960299945063e-10,1.472874891998379e-10
147,3.884068765672424e-06,9.109266291816436e-10,1.480679668694441e-10
148,3.880191237279535e-06,8.883439965429164e-10,1.49227002874651e-10
149,3.84604082621928e-06,8.659576893627229e-10,1.493940026284906e-10
150,3.795623648021728e-06,8.428022386307949e-10,1.479862329957178e-10
151,3.713067815581806e-06,8.188752762122508e-10,1.452652177336917e-10
152,3.603865601727123e-06,7.945184176774037e-10,1.419431296838401e-10
153,3.493189910235083e-06,7.618327606743257e-10,1.38236614050769e-10
154,3.374744721596415e-06,7.252521931028089e-10,1.335630579526594e-10
155,3.215297893907844e-06,6.895202629187587e-10,1.27947267201929e-10
156,3.031659809750178e-06,6.546837720745179e-10,1.218495967539421e-10
157,2.839995100969246e-06,6.216815855388091e-10,1.160744078357581e-10
158,2.677624495848275e-06,5.905525017229197e-10,1.116985908180832e-10
159,2.546168037152659e-06,5.615646931735508e-10,1.071105419224951e-10
160,2.429813534768223e-06,5.348327193456757e-10,1.028289513420817e-10
161,2.330693137220116e-06,5.042404243733577e-10,9.88423210823596e-11
162,2.260149666676584e-06,4.713065747471548e-10,9.481974446460288e-11
163,2.164411905725181e-06,4.399731647318011e-10,9.056308152057285e-11
164,2.047399987649033e-06,4.098424595678141e-10,8.584130058733767e-11
165,1.917031572065793e-06,3.808853735490316e-10,8.05846957931481e-11
166,1.778042075610549e-06,3.531621188677244e-10,7.483800355968315e-11
167,1.639448427386261e-06,3.263436759912e-10,6.901800960653001e-11
168,1.502582634544446e-06,3.005841136962837e-10,6.325784857051864e-11
169,1.369067426130143e-06,2.762518315068007e-10,5.772972692385021e-11
170,1.241620747577841e-06,2.532264947572216e-10,5.252986878291905e-11
171,1.126679005129289e-06,2.316828524180919e-10,4.768007379133193e-11
172,1.020706084584639e-06,2.116203928231777e-10,4.319000119357187e-11
173,9.22856730952046e-07,1.930035130260362e-10,3.90652405840596e-11
174,8.34575226071285e-07,1.757792296741481e-10,3.530146636819835e-11
175,7.532646316622205e-07,1.599146969790924e-10,3.186747504644571e-11
176,6.792105456865095e-07,1.453433987139403e-10,2.875154037358808e-11
177,6.117688674058715e-07,1.320629165268493e-10,2.598361342917791e-11
178,5.507814156955046e-07,1.198935735663221e-10,2.344724698115543e-11
179,4.961664196209013e-07,1.087565543877557e-10,2.113735507631712e-11
180,4.468025221813581e-07,9.859049058748108e-11,1.904170631735892e-11
181,4.023348608325421e-07,8.931497303834126e-11,1.713932566151137e-11
182,3.622194710284198e-07,8.086317514242116e-11,1.541631166737822e-11
183,3.260322916618768e-07,7.316456950834592e-11,1.386082741110907e-11
184,2.934735333861271e-07,6.615580793329211e-11,1.245790253300883e-11
185,2.640854564374828e-07,5.978062256603201e-11,1.119325528708536e-11
186,2.37475669059114e-07,5.398450510680652e-11,1.005446275716828e-11
187,2.134109999338131e-07,4.871955614699963e-11,9.030773117107367e-12
188,1.916662123309846e-07,4.394280522786182e-11,8.111185126280212e-12
189,1.720589900448822e-07,3.961119434686875e-11,7.285395591668514e-12
190,1.544626030565631e-07,3.568629095000264e-11,6.549661518839561e-12
